model,system,n,feasible_acc,csr_feasible,spurious_unsat,false_feasible,opt_gap,repair_iters,latency_s,tokens
deepseek-v3.2,B1_llm_direct,30,1.0000,1.0000,0.0000,0.0000,0.0000,0.000,0.018,0
deepseek-v3.2,B2_llm_cot,30,1.0000,1.0000,0.0000,0.0000,0.0000,0.000,0.037,0
deepseek-v3.2,B3_savanty_norepair,30,0.8333,0.8333,0.0417,0.0000,0.0000,0.000,198.923,3761
deepseek-v3.2,B4_logiclm_style,30,0.8333,0.8333,0.0833,0.0000,0.0000,0.033,142.850,2644
deepseek-v3.2,B5_savanty_typed_core,30,0.8667,0.8750,0.0417,0.0000,0.0000,0.533,51.512,975
gemma4:31b,B1_llm_direct,30,0.9000,0.9167,0.0000,0.0000,0.0000,0.000,0.024,0
gemma4:31b,B2_llm_cot,30,1.0000,1.0000,0.0000,0.0000,0.0000,0.000,0.035,0
gemma4:31b,B3_savanty_norepair,30,0.9000,0.9167,0.0000,0.0000,0.0000,0.000,6.561,1272
gemma4:31b,B4_logiclm_style,30,0.9000,0.9583,0.0000,0.1667,0.0000,0.467,2.861,523
gemma4:31b,B5_savanty_typed_core,30,0.9333,0.9583,0.0000,0.0000,0.0000,0.733,2.564,596
qwen3.5:397b,B1_llm_direct,30,0.9667,0.9583,0.0000,0.0000,0.0000,0.000,15.275,1720
qwen3.5:397b,B2_llm_cot,30,0.9667,0.9583,0.0000,0.0000,0.0000,0.000,18.934,1885
qwen3.5:397b,B3_savanty_norepair,30,0.5000,0.5417,0.0000,0.0000,0.0000,0.000,95.114,9998
qwen3.5:397b,B4_logiclm_style,30,0.4333,0.5417,0.0000,0.3333,0.0000,0.167,1.514,219
qwen3.5:397b,B5_savanty_typed_core,30,0.5000,0.5417,0.0000,0.0000,0.0000,0.300,2.264,380
